"id"	"Intensity.12500amol_R1"	"Intensity.12500amol_R2"	"Intensity.12500amol_R3"	"Intensity.125amol_R1"	"Intensity.125amol_R2"	"Intensity.125amol_R3"	"Intensity.25000amol_R1"	"Intensity.25000amol_R2"	"Intensity.25000amol_R3"	"Intensity.2500amol_R1"	"Intensity.2500amol_R2"	"Intensity.2500amol_R3"	"Intensity.250amol_R1"	"Intensity.250amol_R2"	"Intensity.250amol_R3"	"Intensity.50000amol_R1"	"Intensity.50000amol_R2"	"Intensity.50000amol_R3"	"Intensity.5000amol_R1"	"Intensity.5000amol_R2"	"Intensity.5000amol_R3"	"Intensity.500amol_R1"	"Intensity.500amol_R2"	"Intensity.500amol_R3"	"Intensity.50amol_R1"	"Intensity.50amol_R2"	"Intensity.50amol_R3"
"P05750"	76152000	74955666.6666667	76143000	112022000	103066000	102560333.333333	74729333.3333333	63552000	77058000	56051000	76974000	77700333.3333333	92909333.3333333	98971333.3333333	100228666.666667	91087333.3333333	80625333.3333333	87864666.6666667	62299666.6666667	72478333.3333333	78463666.6666667	99727000	71965000	42641333.3333333	43580333.3333333	120047000	112927000
"Q12230"	25465333.3333333	12653000	10726000	13478233.3333333	16705666.6666667	14978666.6666667	12118966.6666667	19545666.6666667	16413666.6666667	16708333.3333333	18089000	16394000	10089866.6666667	15767666.6666667	12698666.6666667	15788666.6666667	15300666.6666667	18791333.3333333	12759000	12111000	15683666.6666667	18437000	18123666.6666667	16711333.3333333	17093000	15316666.6666667	15704000
"P00549"	687243333.333333	684536666.666667	701270000	893116666.666667	611993333.333333	795206666.666667	677900000	719080000	672553333.333333	669873333.333333	681636666.666667	542536666.666667	825260000	534423333.333333	810533333.333333	722210000	686720000	628876666.666667	576243333.333333	568013333.333333	650080000	762610000	563740000	420056666.666667	503083333.333333	415660000	607653333.333333
"P53738"	NA	NA	NA	2708000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2976000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2438900	NA
"P30822"	5355550	5245200	5823100	5023250	5020600	4196900	3723400	NA	5059500	3715500	3685766.66666667	4252050	4620700	4291600	4606500	2383800	NA	NA	4316900	NA	3877950	3815100	4747150	5136800	3995500	3300133.33333333	3072950
"P39990"	10622650	3177400	16294000	9861800	4997800	9114550	24401500	35509500	3221450	11291750	NA	11530100	6611666.66666667	13545000	15269000	20762933.3333333	20422933.3333333	20872766.6666667	16245000	NA	2790900	18531000	16989000	17570000	9526333.33333333	8998500	4454700
"P32377"	42346000	38648666.6666667	32514333.3333333	31350666.6666667	44823000	30712666.6666667	36640333.3333333	45757333.3333333	45157333.3333333	39734333.3333333	44966666.6666667	40598333.3333333	32776333.3333333	39644000	34311000	50707000	43741000	45617333.3333333	43579333.3333333	43822000	43027666.6666667	26495000	48439333.3333333	37137000	37436333.3333333	33877333.3333333	31778333.3333333
"P06634"	4394633.33333333	6498400	4596900	3484250	4914300	4837200	4982200	5802233.33333333	4969200	3849266.66666667	4743800	3596933.33333333	4961500	7221650	5374000	4993200	4869000	5437900	5191033.33333333	4590000	5279300	5262800	5314400	4954850	5338533.33333333	3809033.33333333	4135533.33333333
"P39935"	4217533.33333333	6276900	5608000	4705500	4446166.66666667	5953833.33333333	4522300	4927400	4098750	4296600	4148166.66666667	3847900	3721600	4475900	3858066.66666667	5919100	7543200	2952900	5335950	6343350	4021043.33333333	5655700	5972950	4781933.33333333	4638433.33333333	1821500	4344500
"Q3E754"	29506000	36980000	40835666.6666667	44092333.3333333	51216500	43662333.3333333	30954666.6666667	37482333.3333333	40059666.6666667	37419000	29326666.6666667	32873666.6666667	45710666.6666667	35391533.3333333	32246333.3333333	34227666.6666667	32425333.3333333	25880000	31889000	31701000	30503666.6666667	47438666.6666667	50419000	36549566.6666667	35372766.6666667	36653800	35944433.3333333
"Q06830ups|PRDX1_HUMAN_UPS"	13970866.6666667	13912333.3333333	13732733.3333333	NA	NA	NA	25505333.3333333	35946333.3333333	30002666.6666667	4552000	NA	NA	NA	NA	NA	68598333.3333333	70883000	64151666.6666667	4245800	7173800	6848200	NA	NA	NA	NA	NA	NA
"P32454"	13486900	12629766.6666667	13994000	15452666.6666667	11749300	14221000	12943000	15265333.3333333	14249766.6666667	14352000	13724333.3333333	13496866.6666667	13959200	11456833.3333333	15135333.3333333	13478000	13436333.3333333	13227333.3333333	10180266.6666667	12729733.3333333	13870000	14939266.6666667	15523000	14257666.6666667	15620000	13541266.6666667	15773666.6666667
"P01008ups|ANT3_HUMAN_UPS"	9925300	9283800	12176200	NA	NA	NA	24049666.6666667	21471333.3333333	23066333.3333333	NA	NA	NA	NA	NA	NA	52975666.6666667	52060666.6666667	66557000	NA	1459800	3431200	NA	NA	NA	NA	NA	NA
"P00915ups|CAH1_HUMAN_UPS"	12072600	10027566.6666667	11731300	NA	NA	NA	21501333.3333333	25275666.6666667	24711333.3333333	NA	NA	NA	NA	NA	NA	55410333.3333333	56297666.6666667	56056333.3333333	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P38088"	17927666.6666667	16754333.3333333	17646000	21693666.6666667	24002666.6666667	19698333.3333333	17109000	24211000	20948666.6666667	18316666.6666667	16115333.3333333	19497333.3333333	19722000	18959666.6666667	17646333.3333333	19628000	19925333.3333333	14200733.3333333	14315033.3333333	18708666.6666667	17209666.6666667	22121333.3333333	18508666.6666667	17759200	20603666.6666667	14896333.3333333	20941333.3333333
"P08263ups|GSTA1_HUMAN_UPS"	3725100	4016000	4953100	NA	NA	NA	23827000	36521000	33634000	NA	NA	NA	NA	NA	NA	NA	63029000	30833666.6666667	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P04147"	32639000	33372333.3333333	31043000	42379000	39659666.6666667	35545333.3333333	30110666.6666667	31764333.3333333	29748000	31018666.6666667	32834000	30450333.3333333	32424666.6666667	33604666.6666667	35682666.6666667	34791333.3333333	32285333.3333333	31015000	22613333.3333333	30658666.6666667	30417666.6666667	36890666.6666667	38468000	32685000	37129333.3333333	40382666.6666667	35034000
"P05694"	54436333.3333333	55800666.6666667	55655666.6666667	60290333.3333333	46891666.6666667	50007000	54374333.3333333	66173666.6666667	61972000	55573666.6666667	42962666.6666667	43768000	57658666.6666667	43969000	54908000	67710333.3333333	67238333.3333333	59921666.6666667	49242666.6666667	48545666.6666667	48821666.6666667	47036333.3333333	49582333.3333333	47918666.6666667	47144333.3333333	54258333.3333333	47016333.3333333
"P99999ups|CYC_HUMAN_UPS"	4789550	4806150	4645900	NA	NA	NA	8129833.33333333	9768966.66666667	8400166.66666667	NA	NA	NA	NA	NA	NA	25315333.3333333	20701000	23046333.3333333	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P32324"	207666666.666667	238813333.333333	285303333.333333	271933333.333333	127005666.666667	136723333.333333	268363333.333333	250500000	214150000	183486666.666667	126468666.666667	194006666.666667	114060000	107423333.333333	110354333.333333	259120000	306946666.666667	256833333.333333	173496666.666667	122184666.666667	177640000	199783333.333333	200630000	129416333.333333	134980000	126903333.333333	145910000
"P48164"	14871666.6666667	19223000	14651300	15732566.6666667	16215166.6666667	15272866.6666667	18378000	17644033.3333333	15820000	15545966.6666667	15425766.6666667	20198000	18025000	15998300	15848133.3333333	15754400	11400850	8015500	19778500	19143500	13892500	17117033.3333333	21636000	24091000	15893600	21364500	11975900
"P34167"	5851766.66666667	8883100	4778733.33333333	7464800	7256700	6356266.66666667	7642066.66666667	5785233.33333333	8008933.33333333	7592966.66666667	5078466.66666667	8238433.33333333	3572200	8099133.33333333	6341600	8872266.66666667	7365666.66666667	5189300	8251066.66666667	3931166.66666667	7573800	5723866.66666667	7617966.66666667	5791400	12413666.6666667	8763933.33333333	9875533.33333333
"P26321"	66451000	84227333.3333333	87765333.3333333	68318666.6666667	39673333.3333333	26227000	84296000	91405333.3333333	67082666.6666667	70513666.6666667	32911666.6666667	32783066.6666667	91291666.6666667	41905500	81963333.3333333	89922000	91815333.3333333	71447000	32444000	34901666.6666667	42961333.3333333	81267333.3333333	44879000	51443000	43665333.3333333	59412500	99498666.6666667
"Q03655"	NA	2894100	NA	2981100	3314000	2582900	NA	NA	NA	2573100	2749600	NA	2861900	NA	3863100	NA	3349600	NA	NA	NA	2471500	3236350	5292700	3006800	NA	3301950	NA
"Q01519"	11911750	9200350	16197000	11722150	7751800	9067700	9607100	NA	10791250	9574700	11951550	NA	NA	11099200	14128000	11026050	15019000	13902000	4426500	NA	4651600	5116700	10464000	4117600	NA	9018100	12877000
"P83774"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38078000	37889000	37786000	NA	NA	NA	39628000	NA	37611000	44785000	44264000	40898000	NA	NA	38035000
"P0CS91"	82014333.3333333	84484666.6666667	80725333.3333333	87254000	93562666.6666667	88197666.6666667	81198000	94225000	85838000	81485666.6666667	86242000	83700000	77470000	86494000	90452000	95410666.6666667	88622333.3333333	93585000	79504666.6666667	84469666.6666667	80693666.6666667	99115000	101736000	99602333.3333333	86961000	84712666.6666667	83296333.3333333
"P39516"	51911333.3333333	49404333.3333333	51107666.6666667	57565333.3333333	41397333.3333333	40536000	50508000	73354000	68572666.6666667	45678333.3333333	45318333.3333333	52973666.6666667	5268563.33333333	46886666.6666667	47406000	63826000	67636000	70747000	49856666.6666667	50237666.6666667	52347333.3333333	42457000	59872000	53331333.3333333	53754333.3333333	52682333.3333333	23044666.6666667
"P02787ups|TRFE_HUMAN_UPS"	15306666.6666667	12912100	15325333.3333333	NA	NA	NA	25929000	41526000	25954000	NA	NA	NA	NA	NA	NA	80398000	64980666.6666667	57761666.6666667	7595700	1409000	4090450	NA	NA	NA	NA	NA	NA
"P04040ups|CATA_HUMAN_UPS"	19009666.6666667	13042333.3333333	12904333.3333333	NA	NA	NA	26630333.3333333	30735666.6666667	27779000	NA	NA	NA	NA	NA	NA	74455333.3333333	74624666.6666667	71035333.3333333	4598866.66666667	4965100	5730900	NA	NA	NA	NA	NA	NA
"P05030"	25867666.6666667	26798333.3333333	19631000	30865666.6666667	19120333.3333333	24869666.6666667	26429666.6666667	31800666.6666667	26049000	30095000	30602666.6666667	18183333.3333333	18999333.3333333	21750666.6666667	25609333.3333333	26986666.6666667	30421666.6666667	26055000	29114000	26658666.6666667	17089333.3333333	22230666.6666667	21982000	20144000	33173333.3333333	28961000	20626333.3333333
"P00942"	272893333.333333	265220000	221983333.333333	196280000	322053333.333333	188330000	249476666.666667	330700000	303126666.666667	278006666.666667	262060000	299336666.666667	99001666.6666667	182703333.333333	147420000	258850000	327856666.666667	319390000	271090000	210943333.333333	278436666.666667	214276666.666667	331756666.666667	213170000	216996666.666667	322590000	214803333.333333
